Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides LB_1	Peptides LB_2	Peptides LB_3	Peptides mAOAC_1	Peptides mAOAC_2	Peptides mAOAC_3	Peptides Soil_1	Peptides Soil_2	Peptides Soil_3	Peptides Zuccini_1	Peptides Zuccini_2	Peptides Zuccini_3	Razor + unique peptides LB_1	Razor + unique peptides LB_2	Razor + unique peptides LB_3	Razor + unique peptides mAOAC_1	Razor + unique peptides mAOAC_2	Razor + unique peptides mAOAC_3	Razor + unique peptides Soil_1	Razor + unique peptides Soil_2	Razor + unique peptides Soil_3	Razor + unique peptides Zuccini_1	Razor + unique peptides Zuccini_2	Razor + unique peptides Zuccini_3	Unique peptides LB_1	Unique peptides LB_2	Unique peptides LB_3	Unique peptides mAOAC_1	Unique peptides mAOAC_2	Unique peptides mAOAC_3	Unique peptides Soil_1	Unique peptides Soil_2	Unique peptides Soil_3	Unique peptides Zuccini_1	Unique peptides Zuccini_2	Unique peptides Zuccini_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type LB_1	Identification type LB_2	Identification type LB_3	Identification type mAOAC_1	Identification type mAOAC_2	Identification type mAOAC_3	Identification type Soil_1	Identification type Soil_2	Identification type Soil_3	Identification type Zuccini_1	Identification type Zuccini_2	Identification type Zuccini_3	Sequence coverage LB_1 [%]	Sequence coverage LB_2 [%]	Sequence coverage LB_3 [%]	Sequence coverage mAOAC_1 [%]	Sequence coverage mAOAC_2 [%]	Sequence coverage mAOAC_3 [%]	Sequence coverage Soil_1 [%]	Sequence coverage Soil_2 [%]	Sequence coverage Soil_3 [%]	Sequence coverage Zuccini_1 [%]	Sequence coverage Zuccini_2 [%]	Sequence coverage Zuccini_3 [%]	Intensity	Intensity LB_1	Intensity LB_2	Intensity LB_3	Intensity mAOAC_1	Intensity mAOAC_2	Intensity mAOAC_3	Intensity Soil_1	Intensity Soil_2	Intensity Soil_3	Intensity Zuccini_1	Intensity Zuccini_2	Intensity Zuccini_3	iBAQ	iBAQ LB_1	iBAQ LB_2	iBAQ LB_3	iBAQ mAOAC_1	iBAQ mAOAC_2	iBAQ mAOAC_3	iBAQ Soil_1	iBAQ Soil_2	iBAQ Soil_3	iBAQ Zuccini_1	iBAQ Zuccini_2	iBAQ Zuccini_3	LFQ intensity LB_1	LFQ intensity LB_2	LFQ intensity LB_3	LFQ intensity mAOAC_1	LFQ intensity mAOAC_2	LFQ intensity mAOAC_3	LFQ intensity Soil_1	LFQ intensity Soil_2	LFQ intensity Soil_3	LFQ intensity Zuccini_1	LFQ intensity Zuccini_2	LFQ intensity Zuccini_3	MS/MS count LB_1	MS/MS count LB_2	MS/MS count LB_3	MS/MS count mAOAC_1	MS/MS count mAOAC_2	MS/MS count mAOAC_3	MS/MS count Soil_1	MS/MS count Soil_2	MS/MS count Soil_3	MS/MS count Zuccini_1	MS/MS count Zuccini_2	MS/MS count Zuccini_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
C7E338;Q813C0	C7E338;Q813C0	17;16	17;16	17;16	S-esterase OS=Bacillus cereus (strain ATCC 14579 / DSM 31 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NRRL B-3711) OX=226900 PE=4 SV=1;3-Oxoadipate enol-lactonase OS=Bacillus cereus (strain ATCC 14579 / DSM 31 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NRRL B-3711)	2	17	17	17	5	4	3	3	3	3	17	15	15	3	1	4	5	4	3	3	3	3	17	15	15	3	1	4	5	4	3	3	3	3	17	15	15	3	1	4	61	61	61	34.321	300	300;301	0	113.22	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	25.7	14.3	13.7	14.3	12	10	61	61	58.3	16.3	3.3	18.7	6160200000	64426000	57416000	78282000	54798000	26046000	38593000	1574000000	2300300000	1885600000	37720000	7787900	35248000	342230000	3579200	3189800	4349000	3044300	1447000	2144100	87445000	127790000	104750000	2095600	432660	1958200	19836000	31889000	20305000	15573000	9575000	15357000	3687000000	3054400000	2693300000	15126000	0	24831000	1	0	2	1	0	0	17	16	14	0	0	0	51				0	1730;3731;4040;8618;10637;12073;12074;12126;15420;15421;15927;16750;18111;18112;19188;25844;29477	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1836;3920;4237;8982;11105;12606;12607;12661;16083;16084;16614;17466;18936;18937;20178;27135;30943	21983;21984;21985;43794;43795;43796;43797;47011;47012;47013;96753;96754;96755;96756;96757;96758;119532;119533;119534;119535;135558;135559;135560;135561;135562;135563;135564;135565;135566;135567;135568;136087;172758;172759;172760;172761;172762;172763;172764;172765;172766;172767;172768;172769;172770;172771;172772;172773;172774;178542;178543;178544;178545;187005;187006;187007;187008;187009;187010;187011;187012;187013;187014;201899;201900;201901;201902;201903;201904;201905;213492;213493;213494;213495;287314;287315;287316;287317;287318;287319;287320;287321;287322;287323;287324;329247;329248;329249	18329;35782;38309;38310;38311;78381;78382;78383;78384;78385;78386;96748;96749;96750;96751;110025;110026;110027;110028;110029;110416;138289;138290;138291;138292;138293;138294;142898;142899;142900;149401;149402;149403;149404;149405;149406;149407;161085;161086;161087;161088;161089;169885;169886;169887;229684;229685;229686;229687;229688;264170;264171	18329;35782;38309;78382;96751;110025;110026;110416;138289;138292;142900;149407;161086;161088;169886;229688;264171		
C7E339;Q81B75	C7E339;Q81B75	3;3	3;3	3;3	MarR family transcriptional regulator OS=Bacillus cereus (strain ATCC 14579 / DSM 31 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NRRL B-3711) OX=226900 PE=4 SV=1;Transcriptional regulator, MarR family OS=Bacillus cereus (strain ATCC 14579 / DSM 31 / JCM 2152 / 	2	3	3	3	1	2	2	3	2	2	1	2	1	3	2	3	1	2	2	3	2	2	1	2	1	3	2	3	1	2	2	3	2	2	1	2	1	3	2	3	29.7	29.7	29.7	16.216	138	138;144	0	14.07	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.2	23.2	23.2	29.7	23.2	23.2	15.9	23.2	15.9	29.7	23.2	29.7	905430000	13632000	68860000	49319000	62211000	51870000	59472000	24651000	97013000	50197000	158630000	136630000	132950000	129350000	1947500	9837100	7045600	8887300	7409900	8496000	3521600	13859000	7170900	22661000	19519000	18992000	0	0	0	0	0	0	0	0	0	239570000	0	201030000	0	1	0	1	0	0	1	1	1	2	1	2	10				1	15981;17934;24907	True;True;True	16669;18720;26148	179081;179082;179083;179084;179085;179086;179087;179088;179089;179090;199686;199687;199688;276316;276317;276318;276319;276320;276321;276322;276323;276324;276325;276326	143316;159367;159368;159369;220436;220437;220438;220439;220440;220441;220442	143316;159367;220439		
CON__REFSEQ:XP_001252647;CON__A2I7N3	CON__REFSEQ:XP_001252647;CON__A2I7N3	3;3	3;3	3;3	;	2	3	3	3	2	1	2	3	1	1	1	2	3	2	2	0	2	1	2	3	1	1	1	2	3	2	2	0	2	1	2	3	1	1	1	2	3	2	2	0	5.5	5.5	5.5	46.897	417	417;417	0.0052953	3.4739	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		4.1	1.7	4.1	5.5	2.4	2.4	2.4	3.1	5.5	4.1	4.1	0	1022300000	99638000	22668000	130790000	139110000	70760000	88778000	14932000	149100000	64317000	117180000	125080000	0	53808000	5244100	1193100	6883600	7321300	3724200	4672500	785870	7847600	3385100	6167600	6582900	0	100830000	0	108370000	53387000	0	0	0	359100000	63600000	136010000	226250000	0	1	0	1	1	1	1	1	2	1	1	2	0	12			+	2	3062;15936;16174	True;True;True	3225;16624;16866	36947;36948;36949;36950;36951;36952;36953;36954;36955;178613;178614;178615;178616;178617;178618;178619;178620;181097;181098;181099	30402;30403;30404;30405;30406;30407;30408;30409;30410;142964;142965;144787	30403;142965;144787		
CON__A2VCT4	CON__A2VCT4	2	2	2		1	2	2	2	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	5.6	5.6	5.6	54.287	482	482	0.0012443	4.213	By matching								By MS/MS	By MS/MS			2.3	0	0	0	0	0	0	0	2.3	3.3	0	0	414800000	55048000	0	0	0	0	0	0	0	334660000	25092000	0	0	11851000	1572800	0	0	0	0	0	0	0	9561600	716910	0	0	0	0	0	0	0	0	0	0	0	35307000	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2			+	3	21151;24764	True;True	22214;25998	233999;234000;274230	186159;218613	186159;218613		
CON__ENSEMBL:ENSBTAP00000025008	CON__ENSEMBL:ENSBTAP00000025008	2	2	2		1	2	2	2	1	0	0	0	1	0	1	0	0	2	1	1	1	0	0	0	1	0	1	0	0	2	1	1	1	0	0	0	1	0	1	0	0	2	1	1	4.3	4.3	4.3	59.299	536	536	0	8.9752	By matching				By matching		By matching			By MS/MS	By matching	By MS/MS	1.5	0	0	0	1.5	0	1.5	0	0	4.3	1.5	1.5	193430000	9509000	0	0	0	5620600	0	3169800	0	0	131460000	23102000	20570000	7737200	380360	0	0	0	224820	0	126790	0	0	5258400	924070	822810	0	0	0	0	0	0	0	0	0	184980000	0	0	0	0	0	0	0	0	0	0	0	3	0	1	4			+	4	2222;12698	True;True	2357;13272	27723;143006;143007;143008;143009;143010;143011;143012;143013	23091;116080;116081;116082	23091;116081		
CON__ENSEMBL:ENSBTAP00000032840	CON__ENSEMBL:ENSBTAP00000032840	3	3	3		1	3	3	3	1	2	1	1	1	0	1	1	1	0	1	0	1	2	1	1	1	0	1	1	1	0	1	0	1	2	1	1	1	0	1	1	1	0	1	0	3.6	3.6	3.6	92.273	825	825	0.0053105	3.5553	By MS/MS	By matching	By matching	By MS/MS	By matching		By matching	By matching	By MS/MS		By matching		1.6	2.8	1.6	1.2	1.2	0	0.8	0.8	0.8	0	0.8	0	225420000	35390000	76561000	23491000	50761000	3165400	0	7247700	15164000	11475000	0	2162900	0	3954700	620880	1343200	412130	890540	55534	0	127150	266030	201320	0	37946	0	0	89538000	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	3			+	5	15043;15320;23040	True;True;True	15689;15979;24179	168677;168678;168679;168680;171842;171843;171844;254337;254338;254339	135108;137596;202151	135108;137596;202151		
CON__P02768-1	CON__P02768-1	5	4	4		1	5	4	4	2	2	4	2	1	1	0	0	0	2	0	0	1	1	3	2	1	1	0	0	0	1	0	0	1	1	3	2	1	1	0	0	0	1	0	0	9	6.6	6.6	69.366	609	609	0	9.7211	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching				By matching			3.8	3.4	7.7	2.3	1.3	2.8	0	0	0	3.4	0	0	161450000	12247000	18973000	44941000	42767000	6608300	14537000	0	0	0	21380000	0	0	3844100	291600	451730	1070000	1018300	157340	346110	0	0	0	509050	0	0	0	0	49815000	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3			+	6	314;2336;14652;23242;26482	True;True;False;True;True	330;2479;15282;24391;27815	4205;4206;4207;29000;29001;29002;29003;164110;164111;164112;164113;164114;256643;295276;295277	3587;24087;24088;131516;131517;131518;131519;203985;236206	3587;24087;131517;203985;236206		
CON__P02769	CON__P02769	6	6	5		1	6	6	5	6	5	1	0	0	2	0	0	0	4	2	0	6	5	1	0	0	2	0	0	0	4	2	0	5	4	0	0	0	2	0	0	0	3	2	0	11.7	11.7	9.2	69.293	607	607	0	21.495	By MS/MS	By MS/MS	By MS/MS			By matching				By MS/MS	By MS/MS		11.7	9.2	2.5	0	0	3.6	0	0	0	8.6	3.6	0	896330000	442470000	208740000	41612000	0	0	13070000	0	0	0	81993000	108440000	0	19071000	9414300	4441200	885350	0	0	278080	0	0	0	1744500	2307300	0	527390000	192540000	0	0	0	36368000	0	0	0	82537000	237170000	0	6	3	1	0	0	0	0	0	0	1	2	0	13			+	7	318;1313;7549;14404;14652;21953	True;True;True;True;True;True	334;1385;7864;15029;15282;23056	4245;4246;17056;17057;84947;84948;84949;84950;84951;161340;161341;164110;164111;164112;164113;164114;242123;242124;242125;242126;242127	3616;14424;68744;68745;129565;131516;131517;131518;131519;192379;192380;192381;192382	3616;14424;68744;129565;131517;192379		
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253;CON__H-INV:HIT000016045	CON__P04264	18;4;1	18;4;1	14;3;0		3	18	18	14	9	8	8	8	5	4	15	14	12	12	9	7	9	8	8	8	5	4	15	14	12	12	9	7	5	4	5	4	2	1	11	10	9	8	5	3	34	34	27.2	66.017	644	644;606;99	0	146.78	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.1	12.9	12.4	14.3	8.7	7.3	30.7	22.7	20.8	19.6	16.6	12.7	4609900000	334350000	371420000	293610000	347490000	72071000	104830000	725070000	1073100000	327670000	518800000	273290000	168190000	131710000	9552900	10612000	8388800	9928200	2059200	2995200	20716000	30659000	9362100	14823000	7808300	4805400	410220000	486570000	397530000	461340000	121060000	212580000	1099300000	1226900000	627580000	713300000	408570000	318160000	7	5	5	4	2	3	13	15	7	9	6	5	81			+	8	3796;7609;9823;14947;16932;19541;19554;19755;20901;23038;23074;23172;23312;23313;24989;25140;28710;29081	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3989;7924;10254;15587;17656;20542;20555;20771;21961;24177;24214;24313;24467;24468;26234;26397;30157;30535	44530;44531;44532;85593;85594;85595;85596;85597;85598;85599;85600;85601;85602;85603;85604;110859;167529;188769;188770;188771;188772;188773;188774;188775;188776;188777;188778;188779;188780;217360;217361;217362;217363;217530;217531;217532;217533;217534;217535;217536;217537;217538;217539;217540;217541;217542;217543;219628;219629;231352;231353;231354;231355;231356;231357;231358;231359;231360;231361;231362;231363;231364;254330;254331;254332;254640;254641;254642;254643;254644;254645;254646;255768;255769;255770;255771;255772;255773;255774;255775;255776;257455;257456;257457;257458;257459;257460;257461;257462;257463;257464;257465;257466;257467;257468;277269;277270;277271;277272;277273;277274;277275;278920;278921;278922;278923;278924;278925;278926;321580;321581;321582;325313;325314;325315;325316;325317;325318;325319;325320	36336;69234;69235;69236;69237;69238;69239;69240;69241;69242;69243;89770;134180;150745;150746;150747;150748;150749;150750;150751;150752;172969;172970;172971;173113;173114;173115;173116;173117;173118;173119;173120;173121;173122;174800;184168;184169;184170;184171;184172;184173;184174;184175;184176;202147;202148;202149;202382;202383;202384;202385;202386;202387;202388;203271;203272;203273;203274;203275;203276;203277;203278;203279;204608;204609;204610;204611;204612;204613;204614;221217;222555;222556;222557;222558;258207;258208;258209;261161;261162;261163;261164	36336;69234;89770;134180;150745;172970;173116;174800;184170;202148;202385;203271;204609;204613;221217;222556;258208;261164		
CON__P13645;CON__P02535-1;CON__Q7Z3Z0;CON__Q7Z3Y8	CON__P13645	14;3;1;1	13;3;1;1	11;3;0;0		4	14	13	11	3	7	5	5	1	3	8	9	4	7	9	5	3	6	4	4	1	3	8	9	4	7	8	4	3	4	3	4	1	3	6	7	3	6	6	3	25.6	25.6	22.6	59.51	593	593;570;450;459	0	60.866	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.1	10.1	8.3	10.6	1.5	5.1	16.7	20.9	9.4	9.6	16.9	8.1	1474600000	102050000	127940000	63350000	114450000	20923000	61888000	140990000	310370000	72059000	239900000	169900000	50813000	52666000	3644600	4569400	2262500	4087700	747240	2210300	5035200	11085000	2573500	8567900	6068000	1814700	170240000	156280000	78950000	126780000	0	100240000	206620000	399170000	144930000	228490000	265150000	117350000	2	1	1	0	1	2	7	8	1	1	5	2	31			+	9	241;1205;2472;9789;15018;15019;15309;19919;21412;23265;23642;23643;24654;27282	True;True;True;True;False;True;True;True;True;True;True;True;True;True	253;1273;2616;10213;15663;15664;15967;20946;22493;24414;24824;24825;25884;28645	3405;15453;15454;15455;15456;15457;15458;15459;30583;30584;30585;30586;30587;110428;110429;110430;168405;168406;168407;168408;168409;168410;168411;168412;168413;168414;168415;168416;171683;171684;171685;171686;171687;171688;171689;171690;221311;221312;221313;221314;221315;221316;236661;256897;256898;256899;256900;261327;261328;261329;261330;261331;261332;261333;261334;261335;261336;261337;273235;304987;304988;304989;304990;304991;304992;304993;304994;304995	2931;13133;13134;13135;13136;25358;25359;89399;89400;134917;134918;134919;134920;134921;134922;137490;137491;137492;137493;137494;137495;137496;176210;176211;176212;188266;204181;204182;204183;207837;207838;207839;207840;207841;207842;217883;244390;244391;244392;244393;244394;244395;244396;244397;244398	2931;13136;25359;89400;134918;134922;137491;176210;188266;204181;207837;207838;217883;244397		
